1) Total Games Played: 98994760

2) Distinct Time Controls and Proportions:

  - 9000+3: 16 games (0.00%)
  - 1140+5: 16 games (0.00%)
  - 90+12: 16 games (0.00%)
  - 10800+9: 16 games (0.00%)
  - 2700+7: 15 games (0.00%)
  - 10800+17: 15 games (0.00%)
  - 30+40: 15 games (0.00%)
  - 780+17: 15 games (0.00%)
  - 660+90: 15 games (0.00%)
  - 1440+2: 15 games (0.00%)
  - 4500+15: 15 games (0.00%)
  - 720+17: 15 games (0.00%)
  - 2400+14: 14 games (0.00%)
  - 2400+6: 14 games (0.00%)
  - 2100+45: 14 games (0.00%)
  - 30+14: 14 games (0.00%)
  - 1140+12: 14 games (0.00%)
  - 3600+25: 14 games (0.00%)
  - 780+40: 14 games (0.00%)
  - 9000+25: 14 games (0.00%)
  - 120+19: 14 games (0.00%)
  - 60+40: 14 games (0.00%)
  - 2400+16: 14 games (0.00%)
  - 90+14: 13 games (0.00%)
  - 2100+12: 13 games (0.00%)
  - 30+20: 13 games (0.00%)
  - 1500+16: 13 games (0.00%)
  - 7200+45: 13 games (0.00%)
  - 30+15: 13 games (0.00%)
  - 30+30: 13 games (0.00%)
  - 4500+8: 13 games (0.00%)
  - 1440+1: 13 games (0.00%)
  - 3600+40: 13 games (0.00%)
  - 1080+18: 13 games (0.00%)
  - 5400+18: 13 games (0.00%)
  - 900+35: 13 games (0.00%)
  - 15+17: 13 games (0.00%)
  - 960+18: 13 games (0.00%)
  - 30+120: 13 games (0.00%)
  - 240+25: 13 games (0.00%)
  - 15+60: 12 games (0.00%)
  - 540+20: 12 games (0.00%)
  - 6300+30: 12 games (0.00%)
  - 1080+17: 12 games (0.00%)
  - 1080+11: 12 games (0.00%)
  - 90+180: 12 games (0.00%)
  - 2100+16: 12 games (0.00%)
  - 10800+40: 12 games (0.00%)
  - 720+90: 12 games (0.00%)
  - 960+20: 12 games (0.00%)
  - 6300+10: 12 games (0.00%)
  - 8100+2: 12 games (0.00%)
  - 2400+35: 11 games (0.00%)
  - 3600+90: 11 games (0.00%)
  - 480+20: 11 games (0.00%)
  - 4500+180: 11 games (0.00%)
  - 480+16: 11 games (0.00%)
  - 660+180: 11 games (0.00%)
  - 1020+40: 11 games (0.00%)
  - 960+30: 11 games (0.00%)
  - 4500+20: 11 games (0.00%)
  - 180+120: 11 games (0.00%)
  - 720+18: 11 games (0.00%)
  - 90+45: 11 games (0.00%)
  - 1140+1: 11 games (0.00%)
  - 3600+120: 11 games (0.00%)
  - 2400+13: 11 games (0.00%)
  - 2400+11: 11 games (0.00%)
  - 5400+16: 11 games (0.00%)
  - 45+9: 10 games (0.00%)
  - 1200+18: 10 games (0.00%)
  - 10800+25: 10 games (0.00%)
  - 960+180: 10 games (0.00%)
  - 10800+90: 10 games (0.00%)
  - 0+90: 10 games (0.00%)
  - 2700+19: 10 games (0.00%)
  - 2700+14: 10 games (0.00%)
  - 4500+40: 10 games (0.00%)
  - 1440+3: 10 games (0.00%)
  - 660+30: 10 games (0.00%)
  - 540+16: 10 games (0.00%)
  - 7200+90: 10 games (0.00%)
  - 3600+150: 10 games (0.00%)
  - 1200+17: 10 games (0.00%)
  - 1140+4: 10 games (0.00%)
  - 2400+150: 10 games (0.00%)
  - 0+120: 9 games (0.00%)
  - 90+90: 9 games (0.00%)
  - 720+25: 9 games (0.00%)
  - 900+150: 9 games (0.00%)
  - 8100+3: 9 games (0.00%)
  - 9000+1: 9 games (0.00%)
  - 45+20: 9 games (0.00%)
  - 9000+20: 9 games (0.00%)
  - 660+19: 9 games (0.00%)
  - 1440+5: 9 games (0.00%)
  - 1020+4: 9 games (0.00%)
  - 2400+12: 9 games (0.00%)
  - 240+19: 9 games (0.00%)
  - 6300+1: 9 games (0.00%)
  - 60+16: 8 games (0.00%)
  - 9000+120: 8 games (0.00%)
  - 720+60: 8 games (0.00%)
  - 120+16: 8 games (0.00%)
  - 780+19: 8 games (0.00%)
  - 5400+13: 8 games (0.00%)
  - 2400+19: 8 games (0.00%)
  - 9900+3: 8 games (0.00%)
  - 420+13: 8 games (0.00%)
  - 1080+7: 8 games (0.00%)
  - 7200+15: 8 games (0.00%)
  - 2700+40: 8 games (0.00%)
  - 1020+16: 8 games (0.00%)
  - 10800+19: 8 games (0.00%)
  - 1080+1: 8 games (0.00%)
  - 840+180: 8 games (0.00%)
  - 1140+20: 8 games (0.00%)
  - 1500+18: 8 games (0.00%)
  - 960+19: 8 games (0.00%)
  - 2100+4: 8 games (0.00%)
  - 540+120: 8 games (0.00%)
  - 6300+60: 7 games (0.00%)
  - 60+45: 7 games (0.00%)
  - 2400+7: 7 games (0.00%)
  - 5400+1: 7 games (0.00%)
  - 10800+18: 7 games (0.00%)
  - 420+14: 7 games (0.00%)
  - 1020+30: 7 games (0.00%)
  - 540+17: 7 games (0.00%)
  - 7200+25: 7 games (0.00%)
  - 1500+150: 7 games (0.00%)
  - 2400+45: 7 games (0.00%)
  - 8100+180: 7 games (0.00%)
  - 1440+4: 7 games (0.00%)
  - 1080+30: 7 games (0.00%)
  - 720+16: 7 games (0.00%)
  - 3600+19: 7 games (0.00%)
  - 4500+19: 7 games (0.00%)
  - 4500+4: 7 games (0.00%)
  - 360+25: 7 games (0.00%)
  - 540+25: 7 games (0.00%)
  - 900+18: 6 games (0.00%)
  - 9900+30: 6 games (0.00%)
  - 1200+150: 6 games (0.00%)
  - 10800+11: 6 games (0.00%)
  - 4500+13: 6 games (0.00%)
  - 0+14: 6 games (0.00%)
  - 720+40: 6 games (0.00%)
  - 6300+90: 6 games (0.00%)
  - 360+11: 6 games (0.00%)
  - 0+18: 6 games (0.00%)
  - 9000+19: 6 games (0.00%)
  - 840+9: 6 games (0.00%)
  - 840+18: 6 games (0.00%)
  - 15+45: 6 games (0.00%)
  - 4500+35: 6 games (0.00%)
  - 420+17: 6 games (0.00%)
  - 30+60: 6 games (0.00%)
  - 1020+25: 6 games (0.00%)
  - 840+40: 6 games (0.00%)
  - 1080+35: 6 games (0.00%)
  - 1020+180: 6 games (0.00%)
  - 240+13: 6 games (0.00%)
  - 1200+120: 6 games (0.00%)
  - 15+120: 6 games (0.00%)
  - 420+120: 6 games (0.00%)
  - 8100+1: 6 games (0.00%)
  - 9900+6: 6 games (0.00%)
  - 180+17: 6 games (0.00%)
  - 10800+13: 6 games (0.00%)
  - 960+60: 6 games (0.00%)
  - 7200+20: 5 games (0.00%)
  - 8100+120: 5 games (0.00%)
  - 8100+16: 5 games (0.00%)
  - 2100+9: 5 games (0.00%)
  - 3780+14: 5 games (0.00%)
  - 2100+19: 5 games (0.00%)
  - 45+60: 5 games (0.00%)
  - 6300+3: 5 games (0.00%)
  - 6300+25: 5 games (0.00%)
  - 1140+35: 5 games (0.00%)
  - 6300+5: 5 games (0.00%)
  - 720+120: 5 games (0.00%)
  - 7200+9: 5 games (0.00%)
  - 90+11: 5 games (0.00%)
  - 5400+11: 5 games (0.00%)
  - 1080+180: 5 games (0.00%)
  - 90+25: 5 games (0.00%)
  - 1500+19: 5 games (0.00%)
  - 2400+17: 5 games (0.00%)
  - 2700+16: 5 games (0.00%)
  - 840+30: 5 games (0.00%)
  - 9000+150: 5 games (0.00%)
  - 420+19: 5 games (0.00%)
  - 1260+21: 5 games (0.00%)
  - 10800+7: 5 games (0.00%)
  - 840+150: 5 games (0.00%)
  - 780+21: 5 games (0.00%)
  - 3300+3: 5 games (0.00%)
  - 1140+14: 4 games (0.00%)
  - 2100+120: 4 games (0.00%)
  - 60+17: 4 games (0.00%)
  - 0+17: 4 games (0.00%)
  - 780+18: 4 games (0.00%)
  - 3600+16: 4 games (0.00%)
  - 540+40: 4 games (0.00%)
  - 420+90: 4 games (0.00%)
  - 8100+5: 4 games (0.00%)
  - 960+40: 4 games (0.00%)
  - 720+180: 4 games (0.00%)
  - 60+19: 4 games (0.00%)
  - 30+150: 4 games (0.00%)
  - 90+18: 4 games (0.00%)
  - 30+9: 4 games (0.00%)
  - 60+150: 4 games (0.00%)
  - 30+13: 4 games (0.00%)
  - 840+25: 4 games (0.00%)
  - 15+25: 4 games (0.00%)
  - 3600+13: 4 games (0.00%)
  - 2100+13: 4 games (0.00%)
  - 6300+180: 4 games (0.00%)
  - 840+19: 4 games (0.00%)
  - 45+30: 4 games (0.00%)
  - 3300+13: 4 games (0.00%)
  - 1020+120: 4 games (0.00%)
  - 420+60: 4 games (0.00%)
  - 240+17: 4 games (0.00%)
  - 540+19: 4 games (0.00%)
  - 0+150: 3 games (0.00%)
  - 2100+18: 3 games (0.00%)
  - 540+18: 3 games (0.00%)
  - 1140+17: 3 games (0.00%)
  - 7200+150: 3 games (0.00%)
  - 780+60: 3 games (0.00%)
  - 180+90: 3 games (0.00%)
  - 660+35: 3 games (0.00%)
  - 480+40: 3 games (0.00%)
  - 5400+120: 3 games (0.00%)
  - 6300+45: 3 games (0.00%)
  - 60+90: 3 games (0.00%)
  - 480+18: 3 games (0.00%)
  - 660+18: 3 games (0.00%)
  - 2100+11: 3 games (0.00%)
  - 9900+120: 3 games (0.00%)
  - 1080+60: 3 games (0.00%)
  - 6300+15: 3 games (0.00%)
  - 6300+40: 3 games (0.00%)
  - 60+120: 3 games (0.00%)
  - 1080+45: 3 games (0.00%)
  - 2100+90: 3 games (0.00%)
  - 5400+8: 3 games (0.00%)
  - 2700+12: 3 games (0.00%)
  - 360+120: 3 games (0.00%)
  - 1140+180: 3 games (0.00%)
  - 45+40: 3 games (0.00%)
  - 10800+12: 3 games (0.00%)
  - 30+25: 3 games (0.00%)
  - 660+25: 3 games (0.00%)
  - 90+40: 3 games (0.00%)
  - 1080+13: 3 games (0.00%)
  - 15+16: 3 games (0.00%)
  - 9900+90: 3 games (0.00%)
  - 540+180: 3 games (0.00%)
  - 2040+8: 3 games (0.00%)
  - 3300+21: 3 games (0.00%)
  - 2700+90: 3 games (0.00%)
  - 10800+45: 3 games (0.00%)
  - 180+21: 3 games (0.00%)
  - 3300+8: 3 games (0.00%)
  - 6300+35: 3 games (0.00%)
  - 3300+5: 3 games (0.00%)
  - 8100+150: 2 games (0.00%)
  - 540+90: 2 games (0.00%)
  - 5400+17: 2 games (0.00%)
  - 2700+120: 2 games (0.00%)
  - 480+120: 2 games (0.00%)
  - 30+90: 2 games (0.00%)
  - 780+120: 2 games (0.00%)
  - 45+120: 2 games (0.00%)
  - 2400+90: 2 games (0.00%)
  - 15+150: 2 games (0.00%)
  - 9900+35: 2 games (0.00%)
  - 240+60: 2 games (0.00%)
  - 9000+45: 2 games (0.00%)
  - 5400+12: 2 games (0.00%)
  - 480+14: 2 games (0.00%)
  - 780+25: 2 games (0.00%)
  - 90+17: 2 games (0.00%)
  - 7200+12: 2 games (0.00%)
  - 8100+60: 2 games (0.00%)
  - 9900+14: 2 games (0.00%)
  - 5400+19: 2 games (0.00%)
  - 1140+40: 2 games (0.00%)
  - 3600+9: 2 games (0.00%)
  - 3600+18: 2 games (0.00%)
  - 3600+14: 2 games (0.00%)
  - 4500+17: 2 games (0.00%)
  - 6300+14: 2 games (0.00%)
  - 9900+40: 2 games (0.00%)
  - 660+60: 2 games (0.00%)
  - 360+50: 2 games (0.00%)
  - 45+35: 2 games (0.00%)
  - 7200+13: 2 games (0.00%)
  - 660+45: 2 games (0.00%)
  - 480+19: 2 games (0.00%)
  - 2040+13: 2 games (0.00%)
  - 1020+14: 2 games (0.00%)
  - 660+17: 2 games (0.00%)
  - 15+18: 2 games (0.00%)
  - 3600+11: 2 games (0.00%)
  - 15+13: 2 games (0.00%)
  - 3300+2: 2 games (0.00%)
  - 2040+5: 2 games (0.00%)
  - 2040+3: 2 games (0.00%)
  - 30+16: 2 games (0.00%)
  - 9900+10: 2 games (0.00%)
  - 10800+16: 2 games (0.00%)
  - 7800+0: 2 games (0.00%)
  - 600+50: 2 games (0.00%)
  - 1320+15: 1 games (0.00%)
  - 4200+0: 1 games (0.00%)
  - 45+16: 1 games (0.00%)
  - 9900+45: 1 games (0.00%)
  - 2700+18: 1 games (0.00%)
  - 45+25: 1 games (0.00%)
  - 6300+9: 1 games (0.00%)
  - 840+120: 1 games (0.00%)
  - 540+150: 1 games (0.00%)
  - 480+60: 1 games (0.00%)
  - 60+18: 1 games (0.00%)
  - 7200+2: 1 games (0.00%)
  - 90+16: 1 games (0.00%)
  - 90+19: 1 games (0.00%)
  - 90+20: 1 games (0.00%)
  - 8100+19: 1 games (0.00%)
  - 4500+25: 1 games (0.00%)
  - 9000+2: 1 games (0.00%)
  - 9000+90: 1 games (0.00%)
  - 120+25: 1 games (0.00%)
  - 6000+100: 1 games (0.00%)
  - 6600+110: 1 games (0.00%)
  - 9900+13: 1 games (0.00%)
  - 6300+2: 1 games (0.00%)
  - 2700+17: 1 games (0.00%)
  - 9900+15: 1 games (0.00%)
  - 9000+60: 1 games (0.00%)
  - 9000+40: 1 games (0.00%)
  - 15+14: 1 games (0.00%)
  - 240+35: 1 games (0.00%)
  - 9900+150: 1 games (0.00%)
  - 120+150: 1 games (0.00%)
  - 15+19: 1 games (0.00%)
  - 30+35: 1 games (0.00%)
  - 4500+11: 1 games (0.00%)
  - 960+45: 1 games (0.00%)
  - 9900+7: 1 games (0.00%)
  - 9900+19: 1 games (0.00%)
  - 5400+25: 1 games (0.00%)
  - 180+150: 1 games (0.00%)
  - 4500+2: 1 games (0.00%)
  - 660+16: 1 games (0.00%)
  - 2400+9: 1 games (0.00%)
  - 540+60: 1 games (0.00%)
  - 360+45: 1 games (0.00%)
  - 420+35: 1 games (0.00%)
  - 1140+25: 1 games (0.00%)
  - 5400+9: 1 games (0.00%)
  - 1080+25: 1 games (0.00%)
  - 300+21: 1 games (0.00%)
  - 10800+14: 1 games (0.00%)
  - 2700+11: 1 games (0.00%)
  - 9900+60: 1 games (0.00%)
  - 540+35: 1 games (0.00%)
  - 9000+30: 1 games (0.00%)
  - 960+90: 1 games (0.00%)
  - 4500+90: 1 games (0.00%)
  - 2040+1: 1 games (0.00%)
  - 2100+150: 1 games (0.00%)
  - 45+90: 1 games (0.00%)
  - 2040+2: 1 games (0.00%)
  - 1080+19: 1 games (0.00%)
  - 7200+11: 1 games (0.00%)
  - 480+21: 1 games (0.00%)
  - 9900+1: 1 games (0.00%)
  - 4500+9: 1 games (0.00%)
  - 5340+1: 1 games (0.00%)
